Spot name,Age,Error,Age SBM,Error
812-12.1,47652.09495543709,"(3.9817620831234306, 0.7413934272704855)","(1.7855828936080445, 0.9169691968262282)"
812-12.2,48810.76903011139,"(3.9198245086444534, 0.729860026856369)","(1.7864375142306794, 1.326129695702215)"
812-12.3,62364.25496771688,"(4.265256084507759, 0.7941680584101923)","(2.185767118183555, 1.1884288693361622)"
812-16.1,28566.952584030932,"(7.884285170089838, 1.4693384476971887)","(2.2644785165859784, 13.970024464667153)"
812-16.2,-10699.87872189276,"(4.477370704855752, 0.83440623519113)","(0.18317284388013502, 9.88409576162386)"
812-17.1,24268.13166584001,"(3.8006823224362583, 0.7077613129091019)","(1.2250297094173428, 2.2191551932362414)"
812-17.2,28245.513126948834,"(4.039045627452718, 0.7522287937571555)","(1.3714881423917284, 2.1909433231696416)"
812-17.3,31743.734124391925,"(4.281976972156388, 0.7974572560437199)","(1.5168770052235236, 2.1427928467571777)"
366-a.1,43864.25868251436,"(2.809082994114084, 0.5230285428952192)","(1.3201119088261206, 0.6506282637917622)"
366-b.1,25386.00263583466,"(5.448486406401239, 1.0147468273578606)","(1.5930811404618312, 2.31275270918977)"
366-b.2,51107.228637911074,"(4.614215651547618, 0.8593263818924156)","(2.0903798537788623, 2.1460114215151584)"
366-d.1,33850.15600608352,"(2.84501090354473, 0.529758188977677)","(1.18667888845066, 1.7734588736941368)"
366-e.1,33238.516800188125,"(3.660694209853471, 0.6816160348260344)","(1.3914260675638206, 0.8573779018147477)"
366-f.1,30557.765576668386,"(3.3858493771144165, 0.630480147313392)","(1.2679353097292467, 0.9150867124528891)"
366-g.1,59668.0576099654,"(4.261931558076388, 0.7935763881705408)","(2.132382077347354, 2.0952199876952533)"
366-g.2,49621.12898277023,"(3.9189172296206296, 0.7297615433520372)","(1.80188003576705, 1.274610191679529)"
566-b.1,130268.60846580745,"(4.025627389745561, 0.7498913892093747)","(2.981747409288849, 2.670581704194202)"
566-f.1,78380.1776914062,"(4.085708192752437, 0.7611590307569213)","(2.3774995617434325, 4.585158894746956)"
566-g.1,117272.07330027991,"(3.5500649414377525, 0.6610205827012555)","(2.5367181664175162, 0.8727328787718681)"
566-i.1,178730.10545142277,"(4.5023900685997305, 0.838551140232702)","(3.739872273598657, 3598.8548020141097)"
566-23.1,123681.04172786832,"(3.1633003130629205, 0.5890535976818428)","(2.332323024274464, 1.7659436025193196)"
566-23.2,70518.14957625237,"(3.948062506949386, 0.7354217712659543)","(2.1844855486641466, 3.434080266975962)"
566-22.1,28343.825668611054,"(4.472537377290837, 0.8331407708374465)","(1.47299320096813, 5.366902782827163)"
566-26.1,147098.2013773578,"(4.909633785517924, 0.914382602216234)","(3.7850271227354897, 2.8736848296081074)"
566-27.1,53054.18531132833,"(4.9857857088395745, 0.9287922029298508)","(2.2779760274886702, 5.403512549934414)"
566-28.1,149369.5354516946,"(5.406063557284123, 1.0069854869014228)","(4.178199949846029, 4.228403557372695)"
